Fecha,B. N. a,B.N.1,B.N.2,B.N.3,B.N.4,B.N.5,B.N.*6,B.N.7,B.N.8,B.N.3x,B.N.2x,B.N.1x,B.N.4x,B.N.SRH,B.N.1A,B.N.2A
03/23/1949,2.7464,3.2396,3.2412,3.2528,3.7466,4.1244,4.0844,,,,,,,,,
04/06/1950,3.089,3.2396,3.2412,3.2528,3.7466,4.1244,4.0844,,,,,,,,,
02/22/1951,3.0955,3.247,3.246,3.26,3.768,4.137,Destruido,3.451,,,,,,,,
10/23/1953,3.097,3.251,3.252,3.263,3.765,,,3.463,4.441,,,,,,,
06/18/1954,2.8054,3.2118,3.2126,3.2234,3.726,,,3.424,4.4022,,,,,,,
05/20/1955,2.805,3.252,3.253,3.263,3.764,,,3.456,4.441,,,,,,,
11/24/1955,2.805,3.252,Inaccesible,3.262,3.764,,,3.462,4.444,,,,,,,
06/16/1956,2.748,3.2545,3.2555,3.265,3.7725,,,3.469,4.4575,3.2605,,,,,,
03/28/1957,2.804,3.2525,3.254,3.264,3.77,,3.472,,4.4575,3.2605,3.2925,,,,,
11/28/1957,2.748,3.2565,3.258,3.2645,3.789,,,3.474,3.789,3.273,,,,,,
12/05/1958,2.804,3.252,3.252,3.258,3.7825,,,3.4595,3.7825,,3.292,,,,,
03/16/1959,2.8045,3.231,3.231,3.239,3.7585,,,3.444,4.4465,3.2355,3.2665,,,,,
07/30/1960,2.748,,3.2365,3.245,3.762,,,3.4515,4.4505,,,,,,,
06/29/1961,2.807,3.2395,3.2405,3.2465,,,,3.448,4.457,3.243,3.2765,,,,,
12/24/1962,2.748,,3.249,3.251,3.784,,,3.455,4.474,3.25,3.289,,,,,
02/13/1963,2.805,,3.2395,3.242,3.776,,,3.442,4.4615,3.242,3.2815,,,,,
10/31/1964,2.807,3.2415,3.24,,3.775,,,3.445,4.4665,,,,,,,
10/01/1965,2.808,,,3.2495,3.7825,,,3.4525,4.4725,3.2475,3.2865,3.248,,,3.248,3.2475
01/22/1968,2.806,,3.2475,,3.768,,,,4.506,3.254,3.289,,,,,
06/17/1969,2.749,3.183,3.1825,3.1835,,,,3.383,4.4,3.1825,3.222,,,,,
05/14/1971,2.743,,3.175,3.185,,,,3.385,4.3785,,3.211,,,,,
07/29/1972,2.743,,,,,,,,,2.408,2.4775,2.325,6.5515,,,
08/15/1973,2.743,,,,,,,,,2.403,2.471,2.318,6.413,,,
06/01/1976,2.52,2.318,2.385,2.461,,,,,,,,,,,,
07/03/1979,2.134,,,,,,,,,2.4975,2.4305,2.364,6.454,5.954,,
04/27/1981,2.544,2.35,,2.488,6.445,,,,,,,,,,,
11/01/1992,,,,,,,,,,,,,,,,
07/04/1993,2.505,2.3836,2.4493,,,,,,,,,,,,,
12/23/1993,2.541,2.57,2.4865,2.471,,,,,,,,,,,,
03/23/1998,2.5394,2.5679,2.4839,,,,,,,,,,,,,
